Model,RMSE (mm),MAE (mm),R²,Type,RMSE_Rank
Two-Stage XGBoost,12.580636662663336,6.426564644243485,0.1962976447172084,ML Model,3
Persistence,14.79752109053579,6.761781635449977,-0.111905649088331,Baseline,5
Climatology,15.193564126286304,8.487764860169742,-0.1722205422766722,Baseline,6
Rolling Average,15.935254109579688,7.465396680371555,-0.2894603368510962,Baseline,7
LSTM Minimal (8 features),12.198196123926538,5.900571166456501,0.2431498330996739,LSTM,1
LSTM Enhanced (26 features),13.21724183679745,6.107959788779818,0.111412171046564,LSTM,4
LSTM Full (71 features),12.54083108231309,6.430428837396097,0.2000343777685223,LSTM,2
