iter	RMSE
0	46.78495527
1	46.05075811
2	45.24351774
3	44.48980876
4	43.85839924
5	43.19905746
6	42.59393793
7	42.12123889
8	41.57951936
9	41.11178315
10	40.68491882
11	40.22662973
12	39.80623126
13	39.46006408
14	39.22209075
15	38.86827736
16	38.61818618
17	38.3333449
18	38.03191784
19	37.83470078
20	37.58834083
21	37.4088635
22	37.21922529
23	36.98670141
24	36.78706163
25	36.60835241
26	36.46568649
27	36.32861244
28	36.19661047
29	36.07523155
30	36.01022083
31	35.8926919
32	35.7906625
33	35.73648721
34	35.59409527
35	35.50441263
36	35.45157744
37	35.37824792
38	35.3220309
39	35.27029161
40	35.19715934
41	35.11849107
42	35.05634165
43	34.9569369
44	34.90354425
45	34.84323143
46	34.80713452
47	34.73237884
48	34.70598172
49	34.68296306
50	34.64218395
51	34.61136209
52	34.59123867
53	34.54957747
54	34.51879657
55	34.49747114
56	34.4682968
57	34.44326696
58	34.41962283
59	34.39832088
60	34.37958078
61	34.37032039
62	34.36420648
63	34.35601877
64	34.31613023
65	34.30331241
66	34.27467607
67	34.25591632
68	34.23977567
69	34.23345412
70	34.22973663
71	34.19805186
72	34.18391931
73	34.16763284
74	34.14595675
75	34.12203814
76	34.07906548
77	34.06703154
78	34.05274113
79	34.03494805
80	34.02578968
81	34.01830755
82	34.00603831
83	33.98112574
84	33.97854239
85	33.97171301
86	33.95751281
87	33.93979116
88	33.92983969
89	33.91689648
90	33.90096788
91	33.86744202
92	33.8630683
93	33.83520545
94	33.80868265
95	33.79082223
96	33.7612184
97	33.75284636
98	33.73613359
99	33.72612232
100	33.72476152
101	33.72205091
102	33.72069249
103	33.70863178
104	33.70503905
105	33.70158957
106	33.69297833
107	33.67365036
108	33.67161562
109	33.65135841
110	33.635372
111	33.62460638
112	33.60169366
113	33.59851522
114	33.59552719
115	33.58477773
116	33.57425639
117	33.55148561
118	33.54129532
119	33.53768609
120	33.53476223
121	33.51914385
122	33.51037109
123	33.50797517
124	33.49753153
125	33.49199274
126	33.48981748
127	33.47302301
128	33.46958255
129	33.45481033
130	33.44366354
131	33.43927066
132	33.43637789
133	33.43405264
134	33.42540341
135	33.42309799
136	33.41963281
137	33.40931844
138	33.40848642
139	33.39612074
140	33.39206032
141	33.38829221
142	33.37491186
143	33.37114823
144	33.36087481
145	33.34585943
146	33.34428936
147	33.33493784
148	33.33177225
149	33.32777256
150	33.31378917
151	33.30464407
152	33.2966076
153	33.28150976
154	33.28022687
155	33.26879058
156	33.26583067
157	33.24407631
158	33.23953679
159	33.23141613
160	33.22210083
161	33.21778004
162	33.205701
163	33.19652673
164	33.17631489
165	33.16340745
166	33.15991116
167	33.15867605
168	33.15744247
169	33.15179794
170	33.12079142
171	33.11238883
172	33.10876378
173	33.09692433
174	33.09174706
175	33.08251521
176	33.07044027
177	33.05899163
178	33.05385755
179	33.04477244
180	33.0406744
181	33.03706211
182	33.02397899
183	33.01382126
184	33.01108993
185	33.00371385
186	33.00147562
187	32.99729407
188	32.98650485
189	32.97389404
190	32.96552996
191	32.96070565
192	32.94685174
193	32.93084143
194	32.91976846
195	32.91933148
196	32.90526724
197	32.89832172
198	32.88264379
199	32.87046081
200	32.8620143
201	32.8418497
202	32.83165953
203	32.82138145
204	32.80717842
205	32.79610161
206	32.79152302
207	32.77769702
208	32.77214219
209	32.76496395
210	32.75019333
211	32.7429974
212	32.7351446
213	32.72460271
214	32.71223918
215	32.69570592
216	32.68813393
217	32.677421
218	32.66452479
219	32.65895985
220	32.65502783
221	32.64685749
222	32.64212619
223	32.63614933
224	32.62984189
225	32.62520814
226	32.61069746
227	32.59371352
228	32.57594458
229	32.5621857
230	32.55735428
231	32.54173666
232	32.53853984
233	32.53247862
234	32.51943853
235	32.50550536
236	32.49775301
237	32.48340915
238	32.47505206
239	32.46705093
240	32.4518358
241	32.44813645
242	32.44405411
243	32.44366311
244	32.42908063
245	32.42408072
246	32.41732425
247	32.41420748
248	32.40718504
249	32.39974918
250	32.38795212
251	32.38140891
252	32.37448664
253	32.36830909
254	32.35482202
255	32.34955982
256	32.3476489
257	32.33483505
258	32.32494469
259	32.32441935
260	32.3183584
261	32.31251734
262	32.29888473
263	32.29346766
264	32.28881458
265	32.28194404
266	32.27839869
267	32.27494303
268	32.26358037
269	32.26272583
270	32.26020806
271	32.25468722
272	32.2488981
273	32.24693716
274	32.241809
275	32.22795421
276	32.22562479
277	32.2209474
278	32.21610442
279	32.21059321
280	32.20913364
281	32.20046963
282	32.19624288
283	32.19304912
284	32.19001077
285	32.17810987
286	32.16757937
287	32.16716806
288	32.16200541
289	32.16074673
290	32.15839774
291	32.15361357
292	32.14707949
293	32.14411899
294	32.14214092
295	32.13762795
296	32.13390965
297	32.12958007
298	32.11861045
299	32.11542052
300	32.11294283
301	32.10255818
302	32.10060737
303	32.10042578
304	32.0929946
305	32.08941537
306	32.08613294
307	32.08595389
308	32.08321681
309	32.08061252
310	32.07683101
311	32.07215585
312	32.06967625
313	32.06584567
314	32.06202698
315	32.06170527
316	32.0518662
317	32.04888902
318	32.04784768
319	32.0466017
320	32.0445224
321	32.0410687
322	32.03682674
323	32.0365465
324	32.03387633
325	32.03214192
326	32.02873579
327	32.02016332
328	32.01996217
329	32.0134994
330	32.00818648
331	32.00219974
332	31.99848573
333	31.99706484
334	31.98711265
335	31.98428046
336	31.98204087
337	31.98013501
338	31.97699624
339	31.97202489
340	31.97108173
341	31.96888154
342	31.96537222
343	31.95654792
344	31.95359001
345	31.9447497
346	31.94239006
347	31.94037013
348	31.9364997
349	31.93265537
350	31.93253668
351	31.93020023
352	31.92909004
353	31.92077064
354	31.91745354
355	31.91494633
356	31.91476849
357	31.91277409
358	31.91070847
359	31.908858
360	31.90595446
361	31.9026682
362	31.9005196
363	31.90032994
364	31.89719432
365	31.89596859
366	31.8951888
367	31.89240731
368	31.89040141
369	31.88884729
370	31.88101112
371	31.87900672
372	31.87640351
373	31.87331237
374	31.86507512
375	31.8632945
376	31.86158806
377	31.86149522
378	31.85704153
379	31.85685498
380	31.85671224
381	31.85587437
382	31.85321921
383	31.85302775
384	31.85137317
385	31.84983886
386	31.84807609
387	31.84038617
388	31.83876029
389	31.83641838
390	31.83623368
391	31.83383394
392	31.83376906
393	31.8326986
394	31.83042943
395	31.82316031
396	31.8216354
397	31.81867246
398	31.81461827
399	31.81368012
400	31.81088488
401	31.80888684
402	31.80608714
403	31.80451744
404	31.79946008
405	31.7976014
406	31.79495548
407	31.7931752
408	31.79282442
409	31.79268349
410	31.79133304
411	31.78988271
412	31.78518938
413	31.78212777
414	31.77599573
415	31.77368146
416	31.77164832
417	31.76932323
418	31.76682096
419	31.76651153
420	31.76625676
421	31.76510211
422	31.75930594
423	31.75848304
424	31.75832249
425	31.75726519
426	31.75715563
427	31.75594735
428	31.75398191
429	31.75205514
430	31.74968891
431	31.74906363
432	31.74901136
433	31.74837861
434	31.74545
435	31.74051104
436	31.74040346
437	31.73997218
438	31.73988562
439	31.73860915
440	31.73751832
441	31.73742568
442	31.73723325
443	31.73446888
444	31.73248921
445	31.73119184
446	31.73112848
447	31.73019384
448	31.72769198
449	31.72179286
450	31.71865675
451	31.71858724
452	31.71802341
453	31.71566154
454	31.7155771
455	31.71554754
456	31.71029758
457	31.7088862
458	31.70816044
459	31.70668137
460	31.70601689
461	31.70460836
462	31.70452364
463	31.70450775
464	31.70444422
465	31.70341101
466	31.70333795
